Entity,Code,Year,Liver cancer,counts/(1000명)
India,IND,1996,14560,14.56
Thailand,THA,1996,10135,10.135
United States,USA,1996,8712,8.712
Italy,ITA,1996,6767,6.767
Egypt,EGY,1996,5651,5.651
France,FRA,1996,5594,5.594
Germany,DEU,1996,3733,3.733
South Korea,KOR,1996,3699,3.699
China,CHN,1995,289004,289.004
Japan,JPN,1995,29563,29.563
India,IND,1995,13875,13.875
Thailand,THA,1995,9781,9.781
United States,USA,1995,8329,8.329
Italy,ITA,1995,6711,6.711
Egypt,EGY,1995,5529,5.529
France,FRA,1995,5342,5.342
Germany,DEU,1995,3571,3.571
South Korea,KOR,1995,3088,3.088
China,CHN,1994,279913,279.913
Japan,JPN,1994,26455,26.455
India,IND,1994,13524,13.524
Thailand,THA,1994,9431,9.431
United States,USA,1994,7897,7.897
Italy,ITA,1994,6777,6.777
Egypt,EGY,1994,5464,5.464
France,FRA,1994,5120,5.12
Germany,DEU,1994,3472,3.472
South Korea,KOR,1994,3099,3.099
China,CHN,1993,268173,268.173
Japan,JPN,1993,24566,24.566
India,IND,1993,13085,13.085
Thailand,THA,1993,9070,9.07
United States,USA,1993,7499,7.499
Italy,ITA,1993,6603,6.603
Egypt,EGY,1993,5325,5.325
France,FRA,1993,4781,4.781
Germany,DEU,1993,3334,3.334
South Korea,KOR,1993,3092,3.092
China,CHN,1992,256415,256.415
Japan,JPN,1992,22768,22.768
India,IND,1992,12563,12.563
Thailand,THA,1992,8766,8.766
United States,USA,1992,7085,7.085
Italy,ITA,1992,6317,6.317
Egypt,EGY,1992,5202,5.202
France,FRA,1992,4502,4.502
Germany,DEU,1992,3217,3.217
South Korea,KOR,1992,3171,3.171
China,CHN,1991,244908,244.908
Japan,JPN,1991,21213,21.213
India,IND,1991,12225,12.225
Thailand,THA,1991,8361,8.361
United States,USA,1991,6729,6.729
Italy,ITA,1991,6095,6.095
Egypt,EGY,1991,5292,5.292
France,FRA,1991,4253,4.253
South Korea,KOR,1991,3289,3.289
Germany,DEU,1991,3146,3.146
China,CHN,1990,232449,232.449
Japan,JPN,1990,19987,19.987
India,IND,1990,11859,11.859
Thailand,THA,1990,7883,7.883
United States,USA,1990,6454,6.454
Italy,ITA,1990,5829,5.829
Egypt,EGY,1990,5198,5.198
France,FRA,1990,4009,4.009
South Korea,KOR,1990,3413,3.413
Germany,DEU,1990,3082,3.082
